ISO3,Country,Dataset,Source,Type,TypeDetail,Access,TemporalStart,TemporalEnd,Frequency,Coverage,URL,Resolution,Quality,Notes,APIAvailable,Origins
GBR,United Kingdom of Great Britain and Northern Ireland,Data Quality: UK has exceptionally high-quality national mapping infrastructure through Ordnance S,//ckan.publishing.service.gov.uk/dataset/major-road-network/resource/175d99b3-c9ea-40ef-9168-6875398330da?inner_span=True),SPECIAL DATASETS FOR UNITED KINGDOM,,,,,,,,,3,,,TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,Department for Transport Major Road Network,Department for Transport,INFRASTRUCTURE - ROADS,,Open/Free (UK Open Government Licence),2018 baseline,,Periodic updates,Vector (based on OS Open Roads),https://www.data.gov.uk/dataset/95f58bfa-13d6-4657-9d6f-020589498cfd/major-road-network,Vector (based on OS Open Roads),4,,No,TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,Environment Agency Hydrological Open Data,Environment Agency (England),HYDROLOGY / WATER,,Open/Free,Historical and real-time data,,Real-time for current data,"Station-based (7,000+ stations)",https://www.data.gov.uk/dataset/98a4d46e-23e4-4430-883c-9e5f14645e8f/hydrological-open-data,"Station-based (7,000+ stations)",5,,"Yes, via Water Data Explorer",TIER1_BEST_DATASETS.csv
GBR,United Kingdom,Environment Agency LiDAR,Environment Agency,Raster DTM/DSM (0.25-2m),,Open (OGL),2006,Present,Continuous,Available (England),https://environment.data.gov.uk/,,,,,COUNTRY_COVERAGE_LONG.csv
GBR,United Kingdom of Great Britain and Northern Ireland,ERA5 Reanalysis,ECMWF/Copernicus Climate Change Service,CLIMATE / WEATHER,,Open/Free,1940-present,,Monthly updates (2-3 month lag),"~30km horizontal, hourly temporal",https://cds.climate.copernicus.eu,"~30km horizontal, hourly temporal",5,,"Yes, via Copernicus Climate Data Store API",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,ESA WorldCover 2020/2021,European Space Agency,LAND COVER / LAND USE,,Open/Free,2020 and 2021 baseline products,,Annual updates planned,10m resolution,https://worldcover2020.esa.int,10m resolution,5,,"Yes, via Copernicus Data Space",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,ESRI 2020 Global LULC from Sentinel-2,ESRI (using Sentinel-2 data),LAND COVER / LAND USE,,Open/Free,2020,,Periodic updates,10m resolution,https://livingatlas.arcgis.com/landcoverexplorer/,10m resolution,4,,"Yes, via ArcGIS Living Atlas",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,FAO Harmonized World Soil Database,"Fair for UK - global product, less detailed than national sources, use Cranfield data preferentially[web:general knowledge]",GEOLOGY / SOIL,,Open/Free,Current (based on legacy surveys),,Static (v1.2),1km resolution,https://www.fao.org/soils-portal/,1km resolution,3,,No,TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,GADM UK,GADM (Global Administrative Areas),ADMINISTRATIVE BOUNDARIES,,Open/Free (academic and non-commercial use),Current (version updates periodic),,Periodic version releases,"Vector, multiple administrative levels",https://gadm.org,"Vector, multiple administrative levels",4,,"No, download only",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,Global Surface Water Explorer,European Commission Joint Research Centre,HYDROLOGY / WATER,,Open/Free,1984-present,,Annual updates,30m resolution,https://global-surface-water.appspot.com,30m resolution,4,,"Yes, via Google Earth Engine",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,Historic England Archaeological Data,Historic England,SPECIAL DATASETS FOR UNITED KINGDOM,,Open/Free for GIS shapefiles,Current (continuously updated heritage records),,Continuous updates to National Heritage List,"Vector (point, line, polygon)",https://historicengland.org.uk/listing/the-list/data-downloads/,"Vector (point, line, polygon)",5,,"Yes, ArcGIS REST services",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,JNCC UK Protected Area Datasets,Joint Nature Conservation Committee,PROTECTED AREAS / ENVIRONMENTAL,,Open/Free,Current,,Regular updates,Vector (various),https://jncc.gov.uk/our-work/uk-protected-area-datasets-for-download/,Vector (various),5,,Limited,TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,LandScan Global,"Good - ambient population model (24-hour average), lower resolution than WorldPop for UK, use as supplementary source[web:general knowledge]",POPULATION / DEMOGRAPHICS,,Restricted/Requires registration,Annual global datasets,,Annual,~1km resolution,https://landscan.ornl.gov,,4,,No,TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,Maxar,Maxar Technologies,SATELLITE IMAGERY (COMMERCIAL),,Commercial/Purchase,"Extensive archive, on-demand tasking",,"On-demand tasking, archive varies","Excellent - highest resolution commercial imagery, sub-meter accuracy, ideal for detailed corridor surveys[web:general knowledge]",https://www.maxar.com,"Excellent - highest resolution commercial imagery, sub-meter accuracy, ideal for detailed corridor surveys[web:general knowledge]",3,,"Yes, Maxar SecureWatch API",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,Met Office DataPoint API,UK Met Office,CLIMATE / WEATHER,,Free registration required for API key,"Historical, current observations, forecasts",,Real-time for observations/forecasts,Site-specific and gridded forecasts,https://www.metoffice.gov.uk/services/data/datapoint,Site-specific and gridded forecasts,5,,"Yes, comprehensive REST API",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,Met Office Weather DataHub,UK Met Office,CLIMATE / WEATHER,,Subscription-based (various tiers),Current and forecast data,,Model runs multiple times daily,"UK 2km deterministic model, Global 10km model",https://www.metoffice.gov.uk/services/data/met-office-weather-datahub,"UK 2km deterministic model, Global 10km model",5,,"Yes, comprehensive API for GRIB2 data, GeoJSON site-specific data",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,Ministry of Defence Danger Areas / Military Zones,"Official source required for areas near military installations, essential for routing constraints[web:general knowledge]",SPECIAL DATASETS FOR UNITED KINGDOM,,Restricted - contact MOD for specific projects,Current,,As military estates change,Vector polygons,,Vector polygons,3,,No,TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,National Grid (NESO) GIS Boundaries for Grid Supply Points,National Energy System Operator (formerly National Grid ESO),"INFRASTRUCTURE - UTILITIES (Power, Telecom)",,Open/Free (acknowledgment required),Current (multiple versions maintained),,Regular updates as network changes,Polygon boundaries for Grid Supply Points,https://www.neso.energy/data-portal/gis-boundaries-gb-grid-supply-points,Polygon boundaries for Grid Supply Points,4,,"Yes, via NESO Data Portal",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,National Grid Transmission Network Shapefiles,National Grid,"INFRASTRUCTURE - UTILITIES (Power, Telecom)",,"Restricted - for emergency and land use planning only, not commercial use",Current (updated September 2025),,Periodic updates,Vector (approximate location),https://www.nationalgrid.com/electricity-transmission/network-and-infrastructure/network-route-maps,Vector (approximate location),4,,No,TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,National LiDAR Programme,Environment Agency,ELEVATION/TERRAIN (DEM),,Open/Free,"1998-2019 (ongoing updates), ~99% coverage of England",,"Ongoing surveys, composite updated periodically",Qualifier: England,https://www.data.gov.uk/dataset/f0db0249-f17b-4036-9e65-309148c97ce4/national-lidar-programme,,3,,"No dedicated API, download via data.gov.uk",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,Natural England Protected Areas,"Excellent - authoritative source for England's protected areas including SSSIs, SPAs, SACs, NNRs[40][41][42]",PROTECTED AREAS / ENVIRONMENTAL,,Open/Free,Current,,Regular updates as designations change,Polygon vector data,https://naturalengland-defra.opendata.arcgis.com,Polygon vector data,5,,"Yes, via ArcGIS REST services",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,Network Rail Geospatial Data,Network Rail,INFRASTRUCTURE - RAILWAYS,,Restricted/Requires request (Open Government Licence for approved uses),Current,,Periodic updates,"Vector, track-level detail (Infrastructure Network Model)",https://www.networkrail.co.uk/who-we-are/transparency-and-ethics/transparency/open-data-feeds/,"Vector, track-level detail (Infrastructure Network Model)",5,,"Limited, various operational data feeds",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,NSTA Interactive Energy Map,North Sea Transition Authority,INFRASTRUCTURE - PIPELINES,,Open/Free,Current,,Regular updates,Interactive spatial mapping,https://www.nstauthority.co.uk/the-move-to-net-zero/interactive-energy-map-for-the-ukcs/,Interactive spatial mapping,4,,Limited,TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,Oil and Gas Authority (NSTA) Onshore GIS Data,North Sea Transition Authority (formerly OGA),INFRASTRUCTURE - PIPELINES,,Open/Free for onshore data,Current,,Weekly updates,Vector (British National Grid),https://www.gov.uk/guidance/oil-and-gas-onshore-maps-and-gis-shapefiles,Vector (British National Grid),4,,"Yes, WFS (Web Feature Service)",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,ONS Census Data,Office for National Statistics,POPULATION / DEMOGRAPHICS,,Open/Free,"Decennial census (2021 most recent), mid-year estimates annual",,"Census every 10 years, mid-year estimates annually","Excellent - most authoritative UK population data, detailed demographic breakdowns, essential for route planning near settlements[55][56][57]",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates,,5,,"Yes, Nomis API and various statistical APIs",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,ONS Open Geography Portal,"Excellent - definitive source for UK administrative boundaries, includes all hierarchical levels from output areas to countries[54]",ADMINISTRATIVE BOUNDARIES,,Open/Free (Open Government Licence),Current (updated annually or as boundaries change),,"Annual updates, more frequent for electoral changes","Vector, full resolution and generalized versions",https://geoportal.statistics.gov.uk,"Vector, full resolution and generalized versions",5,,"Yes, ArcGIS REST services and WFS",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,OpenInfraMap / OpenStreetMap Utilities,"Fair to good - incomplete coverage, particularly for underground utilities, best used as supplementary data source[web:general knowledge]","INFRASTRUCTURE - UTILITIES (Power, Telecom)",,Open/Free,Current,,Community-driven updates,"Vector, variable detail",https://openinframap.org,"Vector, variable detail",4,,"Yes, Overpass API",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,OpenStreetMap Pipelines UK,OpenStreetMap community,INFRASTRUCTURE - PIPELINES,,Open/Free,Current,,Community updates,Vector,https://www.openstreetmap.org,Vector,2,,"Yes, Overpass API",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,OpenStreetMap Railways UK,"Good - reasonable coverage of main lines, may lack operational details compared to official sources[29][30]",INFRASTRUCTURE - RAILWAYS,,Open/Free,Current,,Community-driven real-time updates,Vector,https://www.openstreetmap.org,Vector,4,,"Yes, Overpass API",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,OpenStreetMap UK,OpenStreetMap community,INFRASTRUCTURE - ROADS,,Open/Free (ODbL license),Current (continuously updated),,Real-time community updates,"Vector, variable detail",https://www.openstreetmap.org,"Vector, variable detail",5,,"Yes, Overpass API",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,OS NGD Transport Network - Railway Components,Ordnance Survey,INFRASTRUCTURE - RAILWAYS,,Licensed (free for public sector),Current,,Monthly,"Vector, Railway Link, Railway Node features",https://docs.os.uk/osngd/data-structure/transport/transport-network,"Vector, Railway Link, Railway Node features",5,,"Yes, OS NGD API",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,OS NGD Transport Network Collection,Ordnance Survey,INFRASTRUCTURE - ROADS,,Licensed (free for public sector via PSGA),Current,,Monthly updates,"Vector, topologically structured",https://docs.os.uk/osngd/data-structure/transport/transport-network,"Vector, topologically structured",5,,"Yes, OS NGD API - Features and Tiles",TIER1_BEST_DATASETS.csv
GBR,United Kingdom,OS Open Rivers,Ordnance Survey,Vector hydrography,,Open (OGL),2015,Present,Quarterly,Available,https://www.ordnancesurvey.co.uk/products/os-open-rivers,,,,,COUNTRY_COVERAGE_LONG.csv
GBR,United Kingdom of Great Britain and Northern Ireland,OS Open Roads,Ordnance Survey,INFRASTRUCTURE - ROADS,,Open/Free,Current,,Regular updates (approximately monthly),"Vector, high-level road network",https://osdatahub.os.uk/downloads/open/OpenRoads,"Vector, high-level road network",4,,"Yes, via OS Data Hub APIs",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,OS Terrain 5,"Very high quality, national coverage of Great Britain, derived from multiple sources including LiDAR and photogrammetry[4]",ELEVATION/TERRAIN (DEM),,Commercial/Licensed (part of OS premium products),Current (regularly updated),,Regular updates,5m grid spacing,https://www.ordnancesurvey.co.uk/products/os-terrain-5,,4,,"Yes, via OS Data Hub APIs",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,OS Terrain 50,Ordnance Survey,ELEVATION/TERRAIN (DEM),,Open/Free (part of OS OpenData),Current,,Periodic updates,"Good for national-scale analysis, less suitable for detailed routing, complete Great Britain coverage[5][6]",https://osdatahub.os.uk/downloads/open,,4,,"Yes, via OS Data Hub",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,Planet Labs,Planet Labs,SATELLITE IMAGERY (COMMERCIAL),,Commercial/Subscription,Daily global coverage (PlanetScope),,Daily,"Very good - daily coverage unique for temporal analysis, moderate resolution suitable for monitoring and change detection[web:general knowledge]",https://www.planet.com,"Very good - daily coverage unique for temporal analysis, moderate resolution suitable for monitoring and change detection[web:general knowledge]",3,,"Yes, Planet API",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,Sentinel-2,European Space Agency (Copernicus Programme),SATELLITE IMAGERY (COMMERCIAL),,Open/Free,2015-present,,5-day revisit globally (2-3 days effective with both satellites),"Excellent - free high-resolution multispectral imagery, ideal for vegetation/land cover analysis, cloud cover can limit UK availability[59][60]",https://dataspace.copernicus.eu,"Excellent - free high-resolution multispectral imagery, ideal for vegetation/land cover analysis, cloud cover can limit UK availability[59][60]",3,,"Yes, via Copernicus Data Space Ecosystem API",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,UK Seismic Hazard,British Geological Survey,SPECIAL DATASETS FOR UNITED KINGDOM,,Free/Licensed depending on dataset,Historical seismic records and hazard models,,Periodic updates,"National coverage, varies by dataset",https://www.bgs.ac.uk,"National coverage, varies by dataset",4,,Limited,TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,UKCEH Land Cover Maps (LCM2021),UK Centre for Ecology & Hydrology (UKCEH),LAND COVER / LAND USE,,Licensed/Commercial (various pricing tiers),"Annual maps from 1990, 2007, 2015, 2017-2021",,Annual since 2017,"25m raster, 0.5ha minimum mappable unit for vector",https://www.ceh.ac.uk/data/ukceh-land-cover-maps,"25m raster, 0.5ha minimum mappable unit for vector",5,,"Yes, WMS services available",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,WFD Surface Water Bodies,Environment Agency,HYDROLOGY / WATER,,Open/Free,Current (updated for WFD reporting cycles),,Periodic (aligned with WFD cycles),"Polygon-based, water body level",https://www.data.gov.uk,"Polygon-based, water body level",4,,No dedicated API,TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,World Database on Protected Areas (WDPA) - UK Coverage,"Very good - global standard but UK national sources (Natural England, JNCC) are more detailed and up-to-date[44]",PROTECTED AREAS / ENVIRONMENTAL,,Open/Free,Current (monthly updates globally),,Monthly,Polygon and point data,https://www.protectedplanet.net/en/thematic-areas/wdpa,Polygon and point data,4,,"Yes, via Protected Planet",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,WorldClim,WorldClim project,CLIMATE / WEATHER,,Open/Free,Historical climate averages (1970-2000 baseline),,Periodic major releases,30 arc-seconds (~1km) to 10 arc-minutes,https://www.worldclim.org,30 arc-seconds (~1km) to 10 arc-minutes,4,,"No, download only",TIER1_BEST_DATASETS.csv
GBR,United Kingdom of Great Britain and Northern Ireland,WorldPop UK,"WorldPop, University of Southampton",POPULATION / DEMOGRAPHICS,,Open/Free,"Annual estimates, historical time series",,Annual,"Very good - high resolution gridded population useful for spatial analysis, complements census data with continuous surface[58]",https://www.worldpop.org,,3,,Limited,TIER1_BEST_DATASETS.csv
IRQ,Iraq,ACLED,ACLED,SPECIAL DATASETS FOR IRAQ,,Free (registration required) / Commercial for bulk access,1997-present (updated weekly),,Weekly,Event locations,https://acleddata.com/,Event locations,3,,Yes - ACLED API,TIER1_BEST_DATASETS.csv
IRQ,Iraq,"Airbus Defence and Space (Pléiades Neo, Pléiades 1A/1B, SPOT)",,SATELLITE IMAGERY (COMMERCIAL),,Commercial/Purchase,Archive + new acquisitions,,On-demand tasking,"30cm (Pléiades Neo), 50cm (Pléiades), 1.5m (SPOT)",https://www.airbus.com/en/products-services/space/earth-observation,"30cm (Pléiades Neo), 50cm (Pléiades), 1.5m (SPOT)",5,,Yes - OneAtlas API,TIER1_BEST_DATASETS.csv
IRQ,Iraq,ALOS World 3D (AW3D30),,ELEVATION/TERRAIN (DEM),,Free/Open (registration required),2006-2011,,Static,"Good accuracy, better than ASTER but slightly inferior to Copernicus DEM for Middle East[3][7]",https://www.eorc.jaxa.jp/ALOS/en/aw3d30/,,4,,No,TIER1_BEST_DATASETS.csv
IRQ,Iraq,ASTER GDEM v3,,ELEVATION/TERRAIN (DEM),,Free/Open,2000-2013,,Static (v3 released 2019),"Lowest accuracy among major DEMs for Iraq (RMSE ~6.8m), contains artifacts in flat areas[7][3]",https://earthexplorer.usgs.gov,,2,,Yes - via EarthData API,TIER1_BEST_DATASETS.csv
IRQ,Iraq,Directorate General of Geological Surveys and Mineral Investigation,Iraqi government,GEOLOGY / SOIL,,Most authoritative for Iraq. Small-scale geological mapping exists but digital access limited. Paper maps being digitized[9][25][8],Historical,,Irregular,"1:1,000,000 scale geological map",,"1:1,000,000 scale geological map",3,,No,TIER1_BEST_DATASETS.csv
IRQ,Iraq,ERA5 Reanalysis,European Centre for Medium-Range Weather Forecasts / Copernicus Climate Change Service,CLIMATE / WEATHER,,Free/Open,1940-present (hourly data),,Daily (5-day delay),0.25° x 0.25° (~31km),,0.25° x 0.25° (~31km),3,,Yes - CDS API,TIER1_BEST_DATASETS.csv
IRQ,Iraq,ESA WorldCover 10m,,LAND COVER / LAND USE,,Free/Open,"2020, 2021 (annual updates)",,Annual,10m,https://viewer.esa-worldcover.org/,10m,5,,Yes - via Copernicus API,TIER1_BEST_DATASETS.csv
IRQ,Iraq,FAO Harmonized World Soil Database (HWSD) v2.0,"FAO, IIASA, ISRIC",GEOLOGY / SOIL,,Free/Open,Composite (various dates),,Major updates (v2.0 released 2023),30 arc-seconds (~1km),https://www.fao.org/soils-portal/data-hub/,30 arc-seconds (~1km),3,,Yes - available through Google Earth Engine,TIER1_BEST_DATASETS.csv
IRQ,Iraq,FAO-UNESCO Soil Map of the World,,GEOLOGY / SOIL,,Free/Open,1961-1981,,Static (historical),Historical baseline but coarse resolution. Iraq included in South Asia volume[31][32],https://www.fao.org/soils-portal/data-hub/soil-maps-and-databases/faounesco-soil-map-of-the-world/en/,Historical baseline but coarse resolution. Iraq included in South Asia volume[31][32],3,,No,TIER1_BEST_DATASETS.csv
IRQ,Iraq,GADM,GADM project,ADMINISTRATIVE BOUNDARIES,,Free/Open (non-commercial),Version 4.1 (updated 2022),,Irregular updates,Levels 0-3,https://gadm.org/,Levels 0-3,4,,No (direct download),TIER1_BEST_DATASETS.csv
IRQ,Iraq,Global Oil Infrastructure Tracker,Global Energy Monitor,INFRASTRUCTURE - PIPELINES,,Free/Open (registration may be required),Current,,Quarterly,Line features for pipelines,https://globalenergymonitor.org/projects/global-oil-infrastructure-tracker/,Line features for pipelines,3,,No,TIER1_BEST_DATASETS.csv
IRQ,Iraq,Google Dynamic World,,LAND COVER / LAND USE,,Free/Open,2015-present,,Near real-time (every 2-5 days),10m (Sentinel-2 based),https://www.dynamicworld.app/,10m (Sentinel-2 based),3,,Yes - Google Earth Engine,TIER1_BEST_DATASETS.csv
IRQ,Iraq,HERE Technologies,,INFRASTRUCTURE - ROADS,,Commercial/Purchase,Current,,Quarterly,Sub-meter to 5m accuracy,https://www.here.com/,Sub-meter to 5m accuracy,3,,Yes - HERE Location Services API,TIER1_BEST_DATASETS.csv
IRQ,Iraq,Iraq Central Statistics Office Census Data,Iraq Central Statistics Office,POPULATION / DEMOGRAPHICS,,Most authoritative but spatial data access limited. Latest census data from 2018 MICS (Multiple Indicator Cluster Survey)[41][43],,,,Contact COSIT directly,,,3,,,TIER1_BEST_DATASETS.csv
IRQ,Iraq,Iraq Common Operational Dataset - Administrative Boundaries,Iraq Central Statistics Office / OCHA / HDX,ADMINISTRATIVE BOUNDARIES,,Free/Open,Current (reviewed December 2024),,Annual review,"Levels 0-3 (Country, Governorate, District, Sub-district)",https://data.humdata.org/dataset/cod-ab-irq,"Levels 0-3 (Country, Governorate, District, Sub-district)",5,,Yes - ArcGIS REST Services (geoservices),TIER1_BEST_DATASETS.csv
IRQ,Iraq,Iraq Geological Hazards Classification Map,Iraqi geoscientists (Sissakian et al. 2011),SPECIAL DATASETS FOR IRAQ,,Academic literature,2011,,,"Comprehensive hazard classification including landslides, sinkholes, subsidence, earthquakes, flooding. Maps zones by time and intensity[61]",,,3,,,TIER1_BEST_DATASETS.csv
IRQ,Iraq,Iraq Key Biodiversity Areas,Nature Iraq (2017 report),PROTECTED AREAS / ENVIRONMENTAL,,Report-based/Request from Nature Iraq,2017,,Static,Site-specific polygons,,Site-specific polygons,3,,No,TIER1_BEST_DATASETS.csv
IRQ,Iraq,Iraq Meteorological Organization and Seismology,Iraqi government,CLIMATE / WEATHER,,National meteorological service operates weather stations across Iraq. Historical and real-time data available but access requires official request. Most authoritative for ground station data[38][40],,,,Qualifier: IMOS,,,3,,No,TIER1_BEST_DATASETS.csv
IRQ,Iraq,Iraq Ministry of Electricity Data,,"INFRASTRUCTURE - UTILITIES (Power, Telecom)",,Official transmission network data exists but restricted access,,,,,,,3,,,TIER1_BEST_DATASETS.csv
IRQ,Iraq,Iraq Ministry of Environment / State Board of Antiquities and Heritage,,PROTECTED AREAS / ENVIRONMENTAL,,Restricted/Request,,,,"Iraq government notes 5 sites formally designated, 18 in ratification process. Direct contact required for official boundaries[21]",,,3,,,TIER1_BEST_DATASETS.csv
IRQ,Iraq,Iraq Ministry of Transport Road Network,Ministry of Transport / Mayoralty of Baghdad (for Baghdad),INFRASTRUCTURE - ROADS,,Most accurate for Iraq but not openly accessible[15],,,,,,,3,,No,TIER1_BEST_DATASETS.csv
IRQ,Iraq,Iraq Ministry of Water Resources Database,Ministry of Water Resources of Republic of Iraq,HYDROLOGY / WATER,,"Most authoritative for Iraq but access severely limited. Contains hydrological, climatic, water quality data[11][12][13]",Historical to current,,,Variable,,Variable,3,,No,TIER1_BEST_DATASETS.csv
IRQ,Iraq,Iraq National Oil Companies,"South Oil Company, North Oil Company, and Kurdistan Regional Government Ministry of Natural Resources maintain detailed GIS databases but these are confidential for security and commercial reasons[1][2]",INFRASTRUCTURE - PIPELINES,,Highly restricted/Not publicly available,,,,"Qualifier: SOC, NOC, KRG Ministry",,,3,,,TIER1_BEST_DATASETS.csv
IRQ,Iraq,Iraq National Railway Authority Database,,INFRASTRUCTURE - RAILWAYS,,Official data exists but not accessible to public[14],,,,,,,3,,,TIER1_BEST_DATASETS.csv
IRQ,Iraq,JRC Soil Resources - Mediterranean Countries,European Commission Joint Research Centre,GEOLOGY / SOIL,,Free/Open,2013,,Static,Variable,https://publications.jrc.ec.europa.eu/,Variable,3,,No,TIER1_BEST_DATASETS.csv
IRQ,Iraq,Kurdistan Region Land Cover Map 2024,Kurdistan Region Statistics Office (KRSO) with World Food Programme support,LAND COVER / LAND USE,,Restricted/Request (government agency),2023-2024,,Annual (planned),"Based on Sentinel-2 (10m), produced at higher resolution using machine learning",,"Based on Sentinel-2 (10m), produced at higher resolution using machine learning",3,,No,TIER1_BEST_DATASETS.csv
IRQ,Iraq,LandScan,Oak Ridge National Laboratory (ORNL),POPULATION / DEMOGRAPHICS,,Free for research (registration required),Annual (2000-present),,Annual,Ambient population (24-hour average). Different methodology than WorldPop. Good for infrastructure planning. Iraq coverage available[51],https://landscan.ornl.gov/,,4,,No,TIER1_BEST_DATASETS.csv
IRQ,Iraq,"Maxar (WorldView-3, WorldView-2, GeoEye-1)",https://resources.maxar.com/ and https://www.maxar.com/,SATELLITE IMAGERY (COMMERCIAL),,Commercial/Purchase,Archive from 2000s + new acquisitions,,On-demand tasking,Highest commercial resolution. Excellent for detailed infrastructure mapping. Iraq fully accessible. Maxar Open Data Program provides free imagery for disasters[52][53][54],,Highest commercial resolution. Excellent for detailed infrastructure mapping. Iraq fully accessible. Maxar Open Data Program provides free imagery for disasters[52][53][54],3,,Yes - Maxar Geospatial Platform API,TIER1_BEST_DATASETS.csv
IRQ,Iraq,Military Zones / Restricted Areas,,SPECIAL DATASETS FOR IRAQ,,Not publicly available,,,,Official military zone boundaries not published for security reasons. Local consultation required,,,3,,,TIER1_BEST_DATASETS.csv
IRQ,Iraq,NASA SRTM (30m and 90m),,ELEVATION/TERRAIN (DEM),,Free/Open,February 2000,,Static,Vertical accuracy ±8-10m for Iraq region. Widely used baseline but inferior to Copernicus DEM[6][3],https://earthexplorer.usgs.gov,,3,,Yes - USGS Earth Explorer API,TIER1_BEST_DATASETS.csv
IRQ,Iraq,OGIM Database,Iraq has very limited data in OGIM (data quality score <0.3). Mostly non-government sources. Incomplete coverage. Better than nothing but significant gaps[2][1],INFRASTRUCTURE - PIPELINES,,Free/Open,Compiled through 2022,,Irregular updates,Point and line features,https://doi.org/10.5281/zenodo.7466757,Point and line features,3,,No,TIER1_BEST_DATASETS.csv
IRQ,Iraq,OneGeology - Iraq,OneGeology portal,GEOLOGY / SOIL,,Provides access to Iraqi geological data through international portal but coverage is limited[25],Various,,Static,"1:1,000,000",http://www.onegeology.org/,"1:1,000,000",3,,Yes - WMS/WFS services,TIER1_BEST_DATASETS.csv
IRQ,Iraq,OpenInfraMap / OpenStreetMap Utilities,OpenStreetMap,"INFRASTRUCTURE - UTILITIES (Power, Telecom)",,Free/Open,Current,,Continuous,Variable,https://openinframap.org/,Variable,3,,Yes - Overpass API,TIER1_BEST_DATASETS.csv
IRQ,Iraq,OpenStreetMap Iraq Roads,Real-time (crowdsourced),INFRASTRUCTURE - ROADS,,Free/Open,Current (continuously updated),,,"Variable, typically 1-5m accuracy",https://data.humdata.org/dataset/hotosm_irq_roads,"Variable, typically 1-5m accuracy",3,,Yes - Overpass API,TIER1_BEST_DATASETS.csv
IRQ,Iraq,OpenStreetMap Pipelines,OpenStreetMap,INFRASTRUCTURE - PIPELINES,,Free/Open,Current,,Continuous,Variable,https://www.openstreetmap.org/,Variable,3,,Yes - Overpass API,TIER1_BEST_DATASETS.csv
IRQ,Iraq,OpenStreetMap Railways Iraq,OpenStreetMap contributors,INFRASTRUCTURE - RAILWAYS,,Free/Open,Current,,Continuous,Variable,https://www.openstreetmap.org/,Variable,3,,Yes - Overpass API,TIER1_BEST_DATASETS.csv
IRQ,Iraq,OpenStreetMap Water Features,Continuous (crowdsourced),HYDROLOGY / WATER,,Free/Open,Current,,,Variable,https://www.openstreetmap.org/,Variable,3,,Yes - Overpass API,TIER1_BEST_DATASETS.csv
